STATE_CODE,cluster,n_workers,avg_wage,pct_female,posting_count,median_adv_salary
ME,1,2475,44676.013920773854,0.5103816750142487,345,79700.0
ME,2,2772,49735.78576647335,0.5394196082012878,345,79700.0
ME,3,55,566000.0,0.28871711418497426,345,79700.0
MI,0,4555,151695.9403905447,0.29989516957862283,1838,90000.0
MI,1,20584,42117.50948150162,0.4891457840670696,1838,90000.0
MI,2,17186,50300.709339193025,0.5186802223092744,1838,90000.0
MI,3,554,522000.0,0.23662676786802114,1838,90000.0
MN,0,3137,160562.71684860793,0.3408463442498096,1476,87295.0
MN,1,12343,47022.81762978969,0.49827535238576803,1476,87295.0
MN,2,10984,53037.35445567846,0.5196082706088374,1476,87295.0
MN,3,253,590000.0,0.2821142995603863,1476,87295.0
MO,0,2468,152142.39292322967,0.33388244497600456,1231,84000.0
MO,1,14069,41973.906791992566,0.4953704051552924,1231,84000.0
MO,2,11028,49753.71524498694,0.5219223171844997,1231,84000.0
MO,3,350,488000.0,0.23608124253285542,1231,84000.0
MS,0,790,140416.62779432343,0.3176647888334709,471,78800.0
MS,1,5471,38769.132839304315,0.5140732146802062,471,78800.0
MS,2,5230,46691.86286871766,0.5285032579294233,471,78800.0
MS,3,157,447000.0,0.14760655737704917,471,78800.0
MT,0,373,151108.75229180738,0.26710412042844733,186,88500.0
MT,1,2185,40984.296388413546,0.49225445299672305,186,88500.0
MT,2,2023,46224.025814808585,0.5033836676203153,186,88500.0
MT,3,44,502000.0,0.364159891598916,186,88500.0
NC,0,6046,165559.582695832,0.34554197420851757,2747,91100.0
NC,1,22605,42784.592685360934,0.4957453950468059,2747,91100.0
NC,2,19134,49154.28585406758,0.5224886271791823,2747,91100.0
NC,3,658,563000.0,0.21895469902778736,2747,91100.0
ND,0,333,150513.14647327302,0.3309719149889396,149,76000.0
ND,1,1725,46338.7460865665,0.4708454810495627,149,76000.0
ND,2,1478,53298.779025729156,0.5162853582453025,149,76000.0
ND,3,34,581000.0,0.26112491529252313,149,76000.0
NE,0,731,146128.1453867661,0.30349487418452936,540,85600.0
